Loan Id,Duration,Received,Persons Received From Total,Banks Received,Paybills Received Others
recpK0JZV9UgI42Pa,12,262670.63,261930,545790,134790
,12,242660.77,224725,18725,31694
recMvk5oIHYF72ujr,6,85404.27,79835,159424,15750
reclfZywiMSkIP080,12,117646.62,90018,439011,210495.19
,12,341412.21,237892,258847,179095.62
,6,116926,116366,17890,356
,12,95630.87,95545,42300,1542
rece4PyL1zDKWUGmN,12,390403.86,389160,300117,284860
recZZDdmN9PSerhqL,6,110633.66,93831,20400,5604
,4,585396.99,394125,9550,3000
recxFDP4wLfuAx2ht,12,132536,132436,198141,90323
recwxJZmYLdgjU8Z4,6,601462.58,589766,164857,10800
,12,2065098.28,2037839,41600,388000
,12,818775.32,674880,395962,828802
recZutHAf5uU7WB0t,6,69091.45,65300,24576,9195
,3,617103.74,85588,710,40580
,3,617103.74,85588,710,40580
recGfMvKvQ89zoIfX,12,1047191.13,958899,176570,215370
,12,849210.42,598580,407300,234641
,6,756684.6,597021,461448,138836.23
,12,1394716.23,1385620,945501,466.6
recFli83BAG1rUpm0,6,891904,885084,382550,0
,12,1679552,1741552,12611070,302230
recx33CPnpFEWHsJK,12,306871,310010,726133,173469.75
recZ1vxKEhd1gDfuO,11,5238796.33,5120517,1916518,341267
,12,2783375.14,2773024,1601156,110350
,12,2783375.14,2773024,1601156,110350
,6,100619.21,94317,17900,0
recBJcAkoBEA4Du87,12,497543.9,487141,166227,750
recEe3l5IuZWsaS7L,12,717201.91,574248,1420642,15252
recIH0jEy2IETFc1J,12,368609,340565,13700,410
rec2ZncXWIZJ6A3JU,12,429889.28,351875,257811,36580
,7,731372.41,632404,163225,5500
recOpqWL9nL2OyPR4,12,686464.44,538401,338545,46613
,12,109548.39,79207,33300,1020050
,12,161011.51,147099,302500,46500
recm1Bb1BzOMTlRpY,12,341711.32,325605,68833.73,27911
recN8fCVQNn4KBMNR,12,90275.82,90089,3000,102700
recbBS4zcyxW036w2,12,321351.53,321229,274074,5595
,12,149599,149619,1024,10
,6,1714878.05,1270460,291653,24172
,12,1041289.79,880463,1539911,70657
,12,103475,103810,74,550
recmadjAP294Wg3w0,12,247967.07,244540,135391,2730
,8,258649.59,237475,1230,152774.78
,12,227295.94,190644,28210,76170
,12,885894.56,859605,40827,23490
,6,158338.04,104698,273289,16000
,8,2162343.8,1311309,268095,500
,12,263043.96,203389,437455,17945
recCHGFfeStkMXQZP,12,3264030.36,3201910,818052,170500
,6,711538.46,704703,138420,4100
,12,141426,141516,106454,3110
,12,1335254.85,1027640,333570,10
,11,857457.03,711248,120535,171840.56
,12,1106955,1106955,1492825,696650
,11,578567.89,555943,86770,519050
,12,897155.86,442335,23500,156596
recu1kepXxYDMZufn,12,96240.47,95832,216580,140315
,12,160748,160698,306308,24515.14
recUX0GWNUVjj4imh,11,123692,123712,86040,10590
recIHCAY3dSXRt0Rp,6,259907.72,250444,4374,290
receznfxeHzsjMV40,6,1172438.49,1136393,330000,170
,6,99954.05,93287,360221,61605
recXEBWxPQRUWbSCw,9,2888670.13,2177102,693883,374144
,6,605350,601632,52586,12844
,7,287827,290038,160598,14
rec73PXxQafR7MGdk,12,575486.13,506275,372530,30250
recr09ZtusSoMGl9i,6,97013.21,89753,1450,46710
recKIHjYaOKwdO0oK,6,255078.77,252835,0,10
,11,76272.88,51480,600,12105
,12,300129.02,263234,40542,1391
,6,460443.48,406981,195353,78100
rec7Bh83JAa0EB6fq,12,140967.34,87029,150,10
,12,79800.3,71246,46490,4880
,12,45377.78,33913,2620,8340
,6,49569.06,48590,0,74550
receErWgFYLPfCqMw,12,1227116.07,760580,226395,0
,12,127404.41,115406,240883,50
recUxQqxVYgh6vAPD,12,112849.12,108407,389357,9328
recUxQqxVYgh6vAPD,12,112849.12,108407,389357,9328
,6,408237.19,294530,1720,19560
,12,87151.33,84089,0,160102.33
,12,477108.75,355580,600,170
recnjhmtKyfJKwT5P,12,3824568.56,3832821,23272571,101391
recAIpVWZFy0GXr5v,6,190608.13,83262,116830,700
recUf3y1DO1CTqJaV,12,738097.84,471230,23580,22170
reczsLua1wkz0kg3D,12,2205307.21,1499401,529386,29350
,12,335198.31,227830,2500,14000
,6,64495.37,61900,27550,260
recirnOQe4kLOhIX4,11,860613.67,793181,20000,2784419
recz9nUqDswQv7V0y,12,1051250.97,1040660,44950,237920
,12,272411.77,216916,782356,52029.42
recMmka4ScJGMptPz,12,319742.14,199411,28983,16780.5
,6,207250.27,199361,9600,0
reckbDrhhnBmG7Put,6,361833.06,242645,6700,0
,6,186560.12,154787,108675,400
,12,102206.39,88995,1790,277278
recJRT6FfYnFCVMba,12,1704897.98,1627190,202835,687231
,6,1371207,1370177,167020,2975
recO0NwcI3NIIbjrk,12,610896.75,384306,1762990,109848
recfJxZkwVCoS9Nmf,12,159147,159147,250495,1618
rec1MFgJzX4j3kC8k,12,1813245.75,1802763,1448010,16130
recH64cd70kUYpZXY,12,135236.42,118159,191468,1682
recMSPmhAeSb06BZO,12,188101.41,173295,6300,0
,6,293539,293439,97770,130
recqwq6B0PC136NX3,12,168932.36,148096,294280,30310
recu0qtaOeanLbHwn,12,425907.1,399374,43260,20390
rec8II2LnpD6BXsDO,12,785838.22,606543,394990,0
,12,287859.91,278295,4250,14335
recPacY91P1XreYiy,6,208146.36,199377,183807,0
rec71y2TvdfFJ7R7F,12,555812.44,481041,4205,41235
recuVGNe6kUSdxipF,10,2938306.81,2624892,3172871,6519
recQYJ5oOJCp0Li0I,6,217771,217771,5540,10
,12,904104.42,887124,627419,16113
recgevDty05ZP7rMW,12,1673764.16,1629258,955119,1950
,12,579727.11,349898,1736808,12494
rec1bkucInUgxlFE0,6,247692.72,219601,5453904,42199
recoZ81GcbvAR1q3v,12,878352.56,721989,126450,2160
recCw5JoVxHE1u0Wf,6,1310824.44,946126,265305,21000
,6,56226,56226,0,138
recGyXJHR6qnkBHmK,12,357128,207128,2363800,3160
recgoaLyXjKdlLQ1M,12,471102.65,354749,869420,850
recpLojBNdllxyuZa,12,409817.51,300750,264345,718
rec4aUkLK1SJbVAe1,12,2626552.53,2327767,204140,73875
reclaLsRRBNzg1bYC,12,150807.24,149549,9880,0
recH75j7WKqftlR8T,6,507614.19,404404,5700,40
,6,1730434.78,1577250,530855,13117
,12,426015,190836,16850,1900
reclaLsRRBNzg1bYC,12,150807.24,149549,9880,0
rec9YfwqoUUCc1R5L,6,268451,178381,114920,17095
,12,244241.23,164472,182545,3765
rec46Kr6gLOufdlD6,6,52921.56,21007,4030,10
,12,158421,158421,103880,20
reccuMdLrSTsvjpQt,12,683203.38,620063,23800,8802
recKlIDuuKDhMSSRn,6,375553,373553,1000,46058
rec6MhJdvHUilKcHX,6,351274.58,332316,151388,41290
recb4ffKSFB0RofF4,12,550340.34,544832,153970,20775
recb4ffKSFB0RofF4,12,550340.34,544832,153970,20775
recWAfam3KchHB9p0,12,1618619.68,1581052,327130,2730
,12,158835.38,157939,15626,25389
recIp3Wg0MpCueiYe,12,210198.96,205250,51900,0
,11,1180458.24,811332,1604640,3130
recucaxwSJ3EPBb4h,6,834392.27,831517,605550,24010
reciuaiGJzjIlwdWo,6,191588.61,159790,77170,7660
,6,45925,45925,0,22911
recRy0k65JJBCVNep,12,1608199.76,1319466,479464,177873
rec3wAoaBqORKreWc,12,247963.08,243650,131750,49923
,12,102199.1,85859,316370,510
reccPMk5FKyexFzRO,12,7780301.34,7203820,4394335,837151
rec5snSOvT3DN7O1V,6,101318.78,101310,3200,15010
recsH8h3vfWwglcxX,12,2098903.28,2050470,834480,38060
,12,134069.6,119722,31359,25
,6,181445.84,174636,9100,6107
recvbftP3uWLNQva0,12,803150.4,781728,41773,10857
recg0davXTSetuoLV,12,231134.42,226145,3077,5710
,12,309165.84,308823,79362,10417
,11,32606,27847,80,0
,12,95700.87,95615,42300,1532
,6,73718.81,72721,76636,10770
,6,56000.91,54803,72670,22244
,12,4622949.12,4369457,595400,0
recls5wQo2R9FNnVY,12,251153.79,248975,15700,600
rec6sePd2d4Drk84P,12,230940.37,221040,481576,0
,12,1544471.42,1011954,3117989,391164.86
,6,151139.07,126626,196188,17099.42
,12,1907625.4,1900517,47700,143365
reclLboOLunmaJec9,12,487872,486982,312618,51337
,12,86859.78,53321,20420,810
recR48KOVfj0UHUi2,6,212919.37,172434,83011,10241
,12,837993.47,803359,1315599,16300
,12,707192,707192,173400,650
,6,459763.6,418906,1070,4997
,12,131709.34,85756,1370,70221
rectEsre0ly5vbjOn,12,87615.68,43867,309483,0
,12,279129.32,255398,81700,36393.25
rec7BS2q3eA3LhRb2,12,501391.62,498603,27080,28482
recxtIE90xWqm6t6l,6,260092,260522,267703,2790
,12,3621058.69,3048485,3078590,856450
recmffW9fPEDgu0Zm,12,358954.49,240143,384318,299081
recMo69BjcvuWzhK1,12,550332.34,482848,8000,129500
,12,289668.28,242937,200,9000
recaBaxQxftJQ2bN8,12,410490.42,368185,222950,5510
,12,587986.15,567668,555251.24,110936
recYo84B2PDLzAHWr,12,1082353.48,1037890,363450,269001
,12,400081.42,398242,45788,5495
recVctaJLFZsR7eFR,12,1634538.63,1394879,927940,194480
recKE7J3jGUMtA7NR,6,1614258.39,1452018,687719,4576728
recnJ4H8VWt1qUwNg,12,196345.59,167425,67130,8040
recG5ABTsO7wB19fE,6,427832.25,213441,180085,3300
recibieR1w3TMZzBK,12,747788.98,683614,204145,8500
,12,1599198.91,1403600,473601,279440
,12,34394.27,33340,25590,82398.94
recHIiKFXTniAGWVJ,12,843324.22,606940,85097,36154
recky0KDn3gIjuoHA,12,258060.55,184425,94460,1430
rec9PX977AyIKAEI4,6,86641,59111,218060,1000
recjsngv9jh9rO8y1,6,61700,62304,152205,0
recK99wfbjAt1uGyd,6,685018,685088,34620,6100
,1,895,895,110,98389
rec3vZjg4Gda6Pfls,12,1018762.92,783389,165325,350
rec25GyNq4osvw46B,12,383798.96,303626,102042,51177.7
,12,650807.31,495252,742890,2189911.11
recigXIyoCOlohbKy,9,2879187.98,1930177,1115350,15615
,6,1688309.4,1472642,147039,41030
,6,1688309.4,1472642,147039,41030
,12,633742.05,576162,103260,15000
,12,1292999.64,1289133,4117195,0
,6,300189,305688,124778,38274.79
,12,210538.51,179135,39740,1485
,6,30375,30305,2132,3150
recEuA7tnGyrux7KQ,12,193800.41,137027,157466,1400
